Date,open,high,low,close
2024-10-16 08:00:00,2666.77,2670.57,2666.13,2669.41
2024-10-16 09:00:00,2669.49,2677.67,2666.71,2677.22
2024-10-16 10:00:00,2677.17,2677.45,2673.23,2676.15
2024-10-16 11:00:00,2676.05,2680.07,2674.58,2679.43
2024-10-16 12:00:00,2679.83,2682.73,2678.06,2680.16
2024-10-16 13:00:00,2680.24,2680.91,2673.24,2674.33
2024-10-16 14:00:00,2674.37,2680.63,2672.95,2678.34
2024-10-16 15:00:00,2678.33,2681.93,2676.54,2681.74
2024-10-16 16:00:00,2681.69,2685.24,2672.45,2675.08
2024-10-16 17:00:00,2675.05,2681.38,2670.06,2672.16
2024-10-16 18:00:00,2672.18,2675.68,2667.57,2669.98
2024-10-16 19:00:00,2669.94,2674.27,2666.13,2674.18
2024-10-16 20:00:00,2674.29,2676.31,2673.15,2675.27
2024-10-16 21:00:00,2675.27,2676.71,2674.59,2674.97
2024-10-16 22:00:00,2674.95,2675.06,2672.8,2674.84
2024-10-16 23:00:00,2675.01,2675.01,2673.15,2673.64
2024-10-17 01:00:00,2673.91,2674.65,2673.24,2673.81
2024-10-17 02:00:00,2673.81,2674.72,2673.51,2674.11
2024-10-17 03:00:00,2674.18,2677.98,2674.11,2677.9
2024-10-17 04:00:00,2677.9,2683.06,2676.51,2683.0
2024-10-17 05:00:00,2683.09,2684.93,2678.89,2681.96
2024-10-17 06:00:00,2681.95,2682.26,2674.5,2676.55
2024-10-17 07:00:00,2676.61,2679.62,2676.41,2679.05
2024-10-17 08:00:00,2679.08,2684.32,2678.05,2683.53
2024-10-17 09:00:00,2683.56,2685.72,2680.1,2681.18
2024-10-17 10:00:00,2681.2,2683.77,2678.99,2681.94
2024-10-17 11:00:00,2681.96,2683.92,2680.03,2681.86
2024-10-17 12:00:00,2681.85,2682.06,2676.93,2679.45
2024-10-17 13:00:00,2679.38,2688.8,2679.01,2687.48
2024-10-17 14:00:00,2687.46,2688.44,2680.73,2681.22
2024-10-17 15:00:00,2681.15,2682.22,2673.15,2680.68
2024-10-17 16:00:00,2680.69,2689.96,2678.01,2688.78
2024-10-17 17:00:00,2688.97,2696.43,2684.71,2695.68
2024-10-17 18:00:00,2695.69,2696.74,2687.5,2693.37
2024-10-17 19:00:00,2693.42,2693.42,2683.97,2692.28
2024-10-17 20:00:00,2692.37,2694.19,2690.51,2691.95
2024-10-17 21:00:00,2691.95,2692.2,2689.19,2689.52
2024-10-17 22:00:00,2689.55,2692.61,2688.91,2692.12
2024-10-17 23:00:00,2692.02,2692.96,2691.01,2692.83
2024-10-18 01:00:00,2692.69,2693.3,2691.82,2692.68
2024-10-18 02:00:00,2692.69,2694.3,2692.28,2693.7
2024-10-18 03:00:00,2693.71,2695.87,2692.76,2692.95
2024-10-18 04:00:00,2693.04,2706.74,2692.81,2704.65
2024-10-18 05:00:00,2704.53,2711.95,2704.02,2708.18
2024-10-18 06:00:00,2708.12,2710.84,2706.89,2709.98
2024-10-18 07:00:00,2709.98,2711.42,2708.8,2710.19
2024-10-18 08:00:00,2710.18,2714.07,2710.09,2711.4
2024-10-18 09:00:00,2711.3,2711.6,2702.65,2707.45
2024-10-18 10:00:00,2707.37,2709.11,2702.25,2702.25
2024-10-18 11:00:00,2702.25,2706.31,2701.78,2706.31
